_id,date,devid,srcip,srcintfrole,poluuid,dstport,dstmac,tz,authserver,eventtime,sessionid,sentpkt,type,srccountry,duration,dsthwversion,dstosname,policyid,subtype,action,devname,dstip,masterdstmac,dstintf,trandisp,dstdevtype,srcintf,sentbyte,dstfamily,level,policytype,dsthwvendor,priority,vpntype,vd,dstintfrole,appcat,service,proto,srcport,logid,policyname,time,dstcountry,user,rcvdbyte,rcvdpkt,dstserver,nifi_datetime,crlevel,crscore,craction,msg,reason,method,logdesc,ui,sn,status,sentdelta,mastersrcmac,srcmac,srcserver,transip,transport,rcvddelta,srchwvendor,identifier,osname,app,srcname,srcswversion,unauthusersource,unauthuser,srcfamily,devtype,srchwversion,pdstport,psrcport,dstuser,dstswversion,dstunauthuser,dstunauthusersource,replysrcintf,srcuuid,dstuuid,applist,apprisk,incidentserialno,hostname,direction,url,appid,eventtype,vwlname,dstregion,dstcity,vwlid,vwlquality,dstinetsvc,dstreputation,utmaction,countapp,server,vpn,locip,role,useralt,dir,cookies,vpntunnel,remport,result,advpnsc,group,init,assignip,xauthuser,outintf,version,xauthgroup,locport,remip,exch,peer_notif,src_int,policy_id,epoch,dst_int,from,voip_proto,kind,profile,session_id,call_id,src_port,event_id,dst_port,to,scertcname,ip,interface,mac,dhcp_msg,lease,tunnelid,tunneltype,dst_host,scertissuer,espauth,esptransform,out_spi,in_spi
l0sFG58BimBA0eJ5HQgZ,2026-06-30,FG100FTK23080008,172.16.70.48,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,502,00:80:67:aa:9d:f2,+0200,FSSO-DC,1782813774079009924,2387862218,8,traffic,Reserved,2,PM5560,Android,77,forward,close,Fiorucci-FG-01,172.30.6.4,00:80:67:aa:9d:f2,VLAN30,noop,Industry,Mac,356,Energy,notice,policy,Schneider,189,ipsecvpn,root,lan,unscanned,HTTPS_and_502,6,51088,0000000013,MAC-Fiorucci,12:02:54,Reserved,ADM_BOSI,282,6,0,2026-07-01T00:12:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mEsFG58BimBA0eJ5HQgZ,2026-06-30,FG100FTK23080008,172.16.70.46,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,1000,,+0200,FSSO-DC,1782813774148993004,2387860902,,traffic,Reserved,,,,77,forward,ip-conn,Fiorucci-FG-01,172.30.0.117,,VLAN30,,,Mac,,,warning,policy,,188,,root,lan,unscanned,porta1000,6,65446,0000000011,MAC-Fiorucci,12:02:54,Reserved,ADM,,,,2026-07-01T00:12:27,low,5,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sUsFG58BimBA0eJ5RAg0,2026-06-30,FG100FTK23080008,172.16.70.46,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,1000,00:04:24:ae:c6:2b,+0200,FSSO-DC,1782813774178991525,2387862510,1,traffic,Reserved,1,,,77,forward,server-rst,Fiorucci-FG-01,172.30.0.112,00:04:24:ae:c6:2b,VLAN30,noop,Smart,Mac,52,Security,notice,policy,Axess,189,ipsecvpn,root,lan,unscanned,porta1000,6,65460,0000000013,MAC-Fiorucci,12:02:54,Reserved,ADM,40,1,0,2026-07-01T00:12:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sksFG58BimBA0eJ5RAg0,2026-06-30,FG100FTK23080008,172.16.70.46,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,1000,00:04:24:ae:c6:2b,+0200,FSSO-DC,1782813774178995665,2387861838,1,traffic,Reserved,5,,,77,forward,server-rst,Fiorucci-FG-01,172.30.0.112,00:04:24:ae:c6:2b,VLAN30,noop,Smart,Mac,52,Security,notice,policy,Axess,189,ipsecvpn,root,lan,unscanned,porta1000,6,65454,0000000013,MAC-Fiorucci,12:02:54,Reserved,ADM,40,1,0,2026-07-01T00:12:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y0sFG58BimBA0eJ5awhH,2026-06-30,FGT40FTK2209F1Q7,85.11.187.230,,,,,+0200,,1782814024825808759,,,event,,,,,,system,login,FW-AIR_GROTTAMINARDA,192.168.10.200,,,,,,,,alert,,,185,,root,,,,,,0100032002,,12:07:03,,super_admin,,,,2026-07-01T00:12:47,,,,Administrator,name_invalid,https,Admin,https(85.11.187.230),0,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zEsFG58BimBA0eJ5awhH,2026-06-30,FG100FTK23080008,172.30.16.63,lan,e0e086cc-e3d3-51f0-8355-f7a89d932643,443,,+0200,FSSO-DC,1782813774178992185,2387806678,24,traffic,Reserved,406,,,81,forward,server-rst,Fiorucci-FG-01,172.67.70.46,,wan1,snat,,VALN80,1995,,notice,policy,,189,,root,wan,unscanned,HTTPS,6,55929,0000000013,Navigazione_Fiorucci,12:02:54,United,GIANLUCA.TANGREDI,5397,22,,2026-07-01T00:12:47,,,,,,,,,,,353,00:d8:61:47:71:1c,00:d8:61:47:71:1c,0,2.117.144.115,55929,291,MSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5UsFG58BimBA0eJ5kghF,2026-06-30,FG100FTK23080008,172.16.70.30,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,161,24:6a:0e:b2:21:01,+0200,FSSO-DC,1782814024019040205,2387872068,19,traffic,Reserved,181,,Windows,77,forward,accept,Fiorucci-FG-01,172.30.1.53,24:6a:0e:b2:21:01,VLAN30,noop,Home,Mac,1389,Printer,notice,policy,HP,189,ipsecvpn,root,lan,unscanned,SNMP,17,52643,0000000013,MAC-Fiorucci,12:07:04,Reserved,ADM_SUPPORTO,1451,19,0,2026-07-01T00:12:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ksFG58BimBA0eJ5kghF,2026-06-30,FG100FTK23080008,172.16.70.48,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,502,00:80:67:f9:d2:8a,+0200,FSSO-DC,1782814023999047624,2387899160,6,traffic,Reserved,3,,,77,forward,close,Fiorucci-FG-01,172.30.6.136,00:80:67:f9:d2:8a,VLAN30,noop,,Mac,264,,notice,policy,,189,ipsecvpn,root,lan,unscanned,HTTPS_and_502,6,55359,0000000013,MAC-Fiorucci,12:07:04,Reserved,ADM_BOSI,221,5,0,2026-07-01T00:12:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEsFG58BimBA0eJ5uQlg,2026-06-30,FG100FTK23080008,172.16.70.30,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,161,28:c5:c8:6b:4a:98,+0200,FSSO-DC,1782814024059020064,2387872116,5,traffic,Reserved,181,MFP,,77,forward,accept,Fiorucci-FG-01,172.30.1.109,28:c5:c8:6b:4a:98,VLAN30,noop,Printer,Mac,359,LaserJet,notice,policy,HP,189,ipsecvpn,root,lan,unscanned,SNMP,17,52645,0000000013,MAC-Fiorucci,12:07:04,Reserved,ADM_SUPPORTO,371,5,0,2026-07-01T00:13:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEsFG58BimBA0eJ5uQlj,2026-06-30,FG100FTK23080008,172.16.70.30,undefined,4a3d9eee-e01d-51f0-ff22-376c23423d13,,28:c5:c8:6b:4a:1e,+0200,FSSO-DC,1782814024069029304,2387863904,5,traffic,Reserved,240,MFP,,77,forward,accept,Fiorucci-FG-01,172.30.1.200,28:c5:c8:6b:4a:1e,VLAN30,noop,Printer,Mac,300,LaserJet,notice,policy,HP,189,ipsecvpn,root,lan,unscanned,PING,1,,0000000013,MAC-Fiorucci,12:07:04,Reserved,ADM_SUPPORTO,300,5,0,2026-07-01T00:13:07,,,,,,,,,,,120,,,,,,180,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEsFG58BimBA0eJ54Alp,2026-06-30,FG100FTK23080008,10.171.8.3,lan,,53,,+0200,,1782814024206215844,2387899724,0,traffic,Reserved,0,,,0,local,deny,Fiorucci-FG-01,255.255.255.255,,root,noop,,VLAN410,0,,notice,local-in-policy,,189,,root,undefined,unscanned,DNS,17,56788,0001000014,,12:07:04,Reserved,,0,0,,2026-07-01T00:13:17,,,,,,,,,,,,00:0c:29:95:9c:d9,00:0c:29:95:9c:d9,0,,,,VMware,,Windows,Domain,ITPOME-DC3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
